City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Hofn,IS,64.2539,-15.2082,50.31,99,100,10.07,overcast clouds
163,Loralai,PK,30.3705,68.598,75.88,77,100,6.49,overcast clouds
164,Guerrero Negro,MX,27.9769,-114.0611,77.92,57,13,16.69,few clouds
165,Cabo San Lucas,MX,22.8909,-109.9124,97.61,60,15,11.56,few clouds
166,Shagonar,RU,51.5333,92.8,57.9,64,11,3.09,few clouds
167,Pangai,TO,-19.8,-174.35,77.11,83,20,13.8,few clouds
168,Shimoda,JP,34.6667,138.95,72.1,88,1,2.48,clear sky
169,Erenhot,CN,43.6475,111.9767,74.26,30,61,9.26,broken clouds
170,Puerto Escondido,MX,15.85,-97.0667,87.01,65,68,7.25,broken clouds
171,Calafell,ES,41.2,1.5683,82.42,76,0,5.48,clear sky
172,Aquiles Serdan,MX,17.7833,-92.2833,89.69,60,12,10.65,few clouds
173,Kieta,PG,-6.2167,155.6333,77.88,83,88,5.3,light rain
174,Kabo,CF,7.6994,18.629,74.82,79,100,2.64,overcast clouds
175,Maceio,BR,-9.6658,-35.7353,78.24,69,20,11.5,few clouds
176,Severo-Kurilsk,RU,50.6789,156.125,60.82,73,100,5.97,overcast clouds
177,Wasilla,US,61.5814,-149.4394,66.94,68,100,5.99,overcast clouds
178,Taltal,CL,-25.4,-70.4833,61.14,53,0,3.24,clear sky
179,Henties Bay,NA,-22.116,14.2845,55.17,88,0,9.31,clear sky
180,Laguna,US,38.421,-121.4238,96.35,31,0,8.05,clear sky
181,Villa Bisono,DO,19.5638,-70.8758,90.1,61,95,10.29,overcast clouds
182,Ormara,PK,25.2088,64.6357,82.6,85,54,9.84,broken clouds
183,Calatayud,ES,41.3535,-1.6432,82.72,29,0,7.02,clear sky
184,Tanout,NE,14.9709,8.8879,92.39,29,16,4.14,few clouds
185,Dikson,RU,73.5069,80.5464,37.87,90,100,4.0,overcast clouds
186,Husavik,IS,66.0449,-17.3389,54.61,88,100,3.69,overcast clouds
187,Dingle,PH,10.9995,122.6711,76.32,93,98,4.94,overcast clouds
188,Vardo,NO,70.3705,31.1107,51.78,93,100,4.61,overcast clouds
189,Ahipara,NZ,-35.1667,173.1667,56.34,91,100,7.74,overcast clouds
190,Saskylakh,RU,71.9167,114.0833,46.83,81,100,11.95,light rain
191,Eyl,SO,7.9803,49.8164,78.67,66,45,26.62,scattered clouds
192,Natal,BR,-5.795,-35.2094,84.42,70,75,18.41,broken clouds
193,Souillac,MU,-20.5167,57.5167,69.87,66,98,19.93,overcast clouds
194,Znamenskoye,RU,57.1281,73.8282,66.61,84,50,5.75,scattered clouds
195,Muskegon,US,43.3,-86.1334,84.54,42,0,5.75,clear sky
196,Oranjestad,AW,12.524,-70.027,80.71,86,95,23.02,overcast clouds
197,Moyale,KE,3.5167,39.0584,67.6,66,100,15.1,light rain
198,Weyburn,CA,49.6668,-103.8511,80.74,42,72,9.28,broken clouds
199,Jutai,BR,-5.1833,-68.9,81.32,79,61,4.41,broken clouds
200,Otane,NZ,-39.8833,176.6333,46.0,89,100,1.52,light rain
201,Passo De Camaragibe,BR,-9.2368,-35.4901,78.35,87,3,5.82,clear sky
202,Peniche,PT,39.3558,-9.3811,72.28,83,0,13.98,clear sky
203,Hami,CN,42.8,93.45,83.32,18,100,8.9,overcast clouds
